order_id,order_date,customer_id,cust_type,channel,region,category,product,qty,unit_price,revenue
INV-71535,2025-01-25,C1423,onetime,Shopee,Jawa Barat,Makanan,Granola 500g,3,92000,276000
INV-71338,2025-01-26,C1369,loyal,Shopee,Jabodetabek,Makanan,Madu Hutan 250ml,4,110000,440000
INV-71098,2025-01-26,C1307,onetime,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-71273,2025-01-26,C1358,champion,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70665,2025-01-26,C1182,occasional,Offline Store,Lainnya,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-70774,2025-01-26,C1218,occasional,Tokopedia,Jabodetabek,Elektronik,Earbuds TWS,2,265000,530000
INV-70757,2025-01-27,C1212,occasional,Shopee,Jawa Barat,Rumah Tangga,Diffuser Aroma,1,195000,195000
INV-71322,2025-01-27,C1364,champion,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70448,2025-01-27,C1126,occasional,Shopee,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71144,2025-02-01,C1323,regular,TikTok Shop,Jawa Barat,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-70619,2025-02-01,C1169,occasional,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70990,2025-02-01,C1285,loyal,Shopee,Sumatera,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-70838,2025-02-02,C1236,onetime,Shopee,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70836,2025-02-02,C1236,onetime,Tokopedia,Sumatera,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-70178,2025-02-02,C1050,regular,TikTok Shop,Jawa Tengah,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-71275,2025-02-02,C1358,champion,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71012,2025-02-02,C1288,regular,Shopee,Jawa Tengah,Elektronik,Power Bank 20K,3,185000,555000
INV-70422,2025-02-03,C1118,onetime,Offline Store,Jawa Tengah,Makanan,Granola 500g,1,92000,92000
INV-71210,2025-02-04,C1344,loyal,Shopee,Jawa Barat,Makanan,Madu Hutan 250ml,3,110000,330000
INV-71300,2025-02-05,C1361,champion,TikTok Shop,Jawa Timur,Fashion,Kaos Premium,1,95000,95000
INV-70443,2025-02-05,C1125,regular,TikTok Shop,Jabodetabek,Elektronik,Earbuds TWS,4,265000,1060000
INV-71156,2025-02-05,C1326,loyal,Tokopedia,Lainnya,Rumah Tangga,Organizer Laci,2,78000,156000
INV-70177,2025-02-05,C1050,regular,TikTok Shop,Jawa Timur,Elektronik,Webcam HD,2,210000,420000
INV-71456,2025-02-05,C1403,regular,Shopee,Sumatera,Makanan,Keripik Sehat,1,45000,45000
INV-70301,2025-02-05,C1085,occasional,Tokopedia,Sumatera,Makanan,Granola 500g,3,92000,276000
INV-71532,2025-02-06,C1422,regular,Shopee,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70222,2025-02-06,C1062,occasional,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70255,2025-02-06,C1072,champion,Offline Store,Jawa Barat,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-70059,2025-02-07,C1017,loyal,Shopee,Jawa Barat,Elektronik,Smartwatch,2,450000,900000
INV-70471,2025-02-07,C1135,regular,Shopee,Jawa Tengah,Kecantikan,Serum Vit C,1,145000,145000
INV-70995,2025-02-07,C1287,champion,Tokopedia,Sumatera,Rumah Tangga,Lampu Meja LED,2,165000,330000
INV-70116,2025-02-08,C1036,onetime,Shopee,Jawa Barat,Kecantikan,Serum Vit C,4,145000,580000
INV-70637,2025-02-08,C1174,loyal,Shopee,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71040,2025-02-08,C1295,regular,TikTok Shop,Jawa Timur,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71087,2025-02-08,C1305,champion,Shopee,Sumatera,Elektronik,Power Bank 20K,1,185000,185000
INV-70385,2025-02-09,C1111,champion,Shopee,Jabodetabek,Rumah Tangga,Organizer Laci,1,78000,78000
INV-70508,2025-02-09,C1142,champion,Tokopedia,Jabodetabek,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-71302,2025-02-09,C1361,champion,Shopee,Lainnya,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-70480,2025-02-10,C1137,loyal,TikTok Shop,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-70985,2025-02-11,C1283,loyal,Shopee,Jawa Tengah,Rumah Tangga,Organizer Laci,1,78000,78000
INV-70715,2025-02-11,C1199,loyal,TikTok Shop,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-71398,2025-02-11,C1386,loyal,Shopee,Sumatera,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-70489,2025-02-12,C1139,champion,Shopee,Jawa Barat,Elektronik,Webcam HD,4,210000,840000
INV-70515,2025-02-14,C1142,champion,Tokopedia,Lainnya,Elektronik,Webcam HD,2,210000,420000
INV-70644,2025-02-14,C1175,occasional,Shopee,Jabodetabek,Fashion,Dress Casual,1,225000,225000
INV-70929,2025-02-14,C1261,champion,Shopee,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71206,2025-02-15,C1342,occasional,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-70214,2025-02-15,C1060,loyal,TikTok Shop,Lainnya,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71272,2025-02-16,C1358,champion,Tokopedia,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70291,2025-02-16,C1083,loyal,Shopee,Jabodetabek,Fashion,Dress Casual,3,225000,675000
INV-70760,2025-02-16,C1212,occasional,Tokopedia,Lainnya,Fashion,Kaos Premium,3,95000,285000
INV-70523,2025-02-17,C1144,regular,Tokopedia,Jawa Timur,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71076,2025-02-17,C1302,champion,Shopee,Jawa Barat,Elektronik,Smartwatch,1,450000,450000
INV-70924,2025-02-17,C1261,champion,Shopee,Jabodetabek,Elektronik,Webcam HD,1,210000,210000
INV-70406,2025-02-18,C1113,loyal,Offline Store,Jawa Tengah,Fashion,Kaos Premium,3,95000,285000
INV-71332,2025-02-18,C1367,regular,TikTok Shop,Jawa Barat,Elektronik,Power Bank 20K,2,185000,370000
INV-70079,2025-02-18,C1025,loyal,Tokopedia,Jawa Timur,Elektronik,Earbuds TWS,2,265000,530000
INV-70532,2025-02-18,C1147,regular,Tokopedia,Jawa Timur,Kecantikan,Masker Wajah (5s),3,55000,165000
INV-70814,2025-02-18,C1230,occasional,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71462,2025-02-19,C1404,loyal,Offline Store,Sumatera,Elektronik,Power Bank 20K,2,185000,370000
INV-71288,2025-02-19,C1359,champion,Tokopedia,Jawa Barat,Elektronik,Power Bank 20K,1,185000,185000
INV-70257,2025-02-19,C1072,champion,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-70193,2025-02-20,C1055,onetime,Shopee,Jawa Barat,Elektronik,Power Bank 20K,2,185000,370000
INV-70833,2025-02-20,C1234,loyal,TikTok Shop,Jabodetabek,Fashion,Celana Chino,2,195000,390000
INV-70986,2025-02-20,C1283,loyal,Shopee,Jawa Timur,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-70618,2025-02-21,C1168,onetime,Tokopedia,Sumatera,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71107,2025-02-21,C1310,loyal,Shopee,Sumatera,Elektronik,Webcam HD,2,210000,420000
INV-71106,2025-02-21,C1310,loyal,Shopee,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71201,2025-02-21,C1340,loyal,TikTok Shop,Jawa Barat,Elektronik,Power Bank 20K,1,185000,185000
INV-70095,2025-02-23,C1028,occasional,Offline Store,Jawa Tengah,Rumah Tangga,Diffuser Aroma,2,195000,390000
INV-71239,2025-02-23,C1349,champion,Offline Store,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70084,2025-02-24,C1025,loyal,Offline Store,Jawa Barat,Elektronik,Power Bank 20K,2,185000,370000
INV-70975,2025-02-24,C1279,loyal,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70670,2025-02-25,C1184,loyal,Shopee,Jawa Barat,Makanan,Granola 500g,2,92000,184000
INV-71459,2025-02-25,C1403,regular,TikTok Shop,Sumatera,Makanan,Madu Hutan 250ml,1,110000,110000
INV-70207,2025-02-26,C1058,regular,Offline Store,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70269,2025-02-26,C1075,occasional,TikTok Shop,Jawa Barat,Elektronik,Keyboard Mekanik,1,380000,380000
INV-70525,2025-02-27,C1145,occasional,Offline Store,Jawa Tengah,Makanan,Granola 500g,4,92000,368000
INV-70080,2025-02-27,C1025,loyal,Offline Store,Jabodetabek,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-70805,2025-03-01,C1225,regular,Tokopedia,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70572,2025-03-01,C1156,champion,Offline Store,Jawa Timur,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70689,2025-03-01,C1189,regular,Tokopedia,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71004,2025-03-01,C1287,champion,Shopee,Jawa Tengah,Rumah Tangga,Karpet Bulu,4,240000,960000
INV-71468,2025-03-01,C1405,regular,Tokopedia,Lainnya,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71293,2025-03-02,C1359,champion,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71159,2025-03-02,C1328,onetime,Tokopedia,Jabodetabek,Fashion,Celana Chino,3,195000,585000
INV-71412,2025-03-02,C1390,regular,Offline Store,Jabodetabek,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-71049,2025-03-02,C1296,loyal,Offline Store,Sumatera,Fashion,Jaket Denim,1,320000,320000
INV-70850,2025-03-02,C1239,onetime,Tokopedia,Jabodetabek,Rumah Tangga,Diffuser Aroma,1,195000,195000
INV-70434,2025-03-04,C1122,loyal,TikTok Shop,Jabodetabek,Rumah Tangga,Diffuser Aroma,1,195000,195000
INV-70409,2025-03-04,C1113,loyal,Tokopedia,Lainnya,Rumah Tangga,Organizer Laci,1,78000,78000
INV-71010,2025-03-04,C1287,champion,Offline Store,Jabodetabek,Kecantikan,Serum Vit C,1,145000,145000
INV-70661,2025-03-04,C1180,occasional,TikTok Shop,Jawa Timur,Fashion,Celana Chino,2,195000,390000
INV-70037,2025-03-04,C1008,regular,Shopee,Jawa Tengah,Rumah Tangga,Organizer Laci,1,78000,78000
INV-71516,2025-03-04,C1416,regular,Tokopedia,Jabodetabek,Elektronik,Power Bank 20K,4,185000,740000
INV-70074,2025-03-04,C1023,occasional,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-71419,2025-03-05,C1392,loyal,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71505,2025-03-05,C1412,champion,Shopee,Jabodetabek,Makanan,Madu Hutan 250ml,3,110000,330000
INV-71446,2025-03-05,C1400,regular,TikTok Shop,Lainnya,Fashion,Dress Casual,2,225000,450000
INV-71108,2025-03-05,C1310,loyal,Tokopedia,Jawa Timur,Elektronik,Keyboard Mekanik,1,380000,380000
INV-71285,2025-03-05,C1359,champion,Tokopedia,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71160,2025-03-05,C1329,regular,TikTok Shop,Sumatera,Elektronik,Power Bank 20K,1,185000,185000
INV-70912,2025-03-06,C1258,regular,TikTok Shop,Jawa Timur,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70967,2025-03-07,C1275,regular,TikTok Shop,Jabodetabek,Kecantikan,Masker Wajah (5s),3,55000,165000
INV-71358,2025-03-07,C1375,occasional,TikTok Shop,Jawa Barat,Makanan,Madu Hutan 250ml,2,110000,220000
INV-70022,2025-03-08,C1004,loyal,Shopee,Jabodetabek,Rumah Tangga,Karpet Bulu,4,240000,960000
INV-70937,2025-03-08,C1263,onetime,Tokopedia,Sumatera,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70783,2025-03-08,C1220,loyal,Tokopedia,Jabodetabek,Elektronik,Earbuds TWS,3,265000,795000
INV-70887,2025-03-08,C1249,regular,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70287,2025-03-08,C1082,occasional,TikTok Shop,Jawa Barat,Fashion,Celana Chino,2,195000,390000
INV-71181,2025-03-08,C1334,champion,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70488,2025-03-09,C1139,champion,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-70647,2025-03-09,C1177,occasional,Tokopedia,Lainnya,Rumah Tangga,Karpet Bulu,1,240000,240000
INV-70363,2025-03-09,C1100,occasional,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),3,55000,165000
INV-71513,2025-03-09,C1415,regular,Tokopedia,Jabodetabek,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-71517,2025-03-10,C1417,occasional,Offline Store,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71173,2025-03-10,C1333,regular,Shopee,Jabodetabek,Makanan,Granola 500g,1,92000,92000
INV-70186,2025-03-10,C1053,regular,Shopee,Jawa Timur,Kecantikan,Masker Wajah (5s),4,55000,220000
INV-71081,2025-03-11,C1305,champion,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70746,2025-03-11,C1210,loyal,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-71264,2025-03-11,C1358,champion,TikTok Shop,Jabodetabek,Fashion,Dress Casual,1,225000,225000
INV-71299,2025-03-11,C1360,occasional,Shopee,Lainnya,Rumah Tangga,Organizer Laci,1,78000,78000
INV-71128,2025-03-11,C1319,onetime,Shopee,Jabodetabek,Elektronik,Smartwatch,4,450000,1800000
INV-71469,2025-03-12,C1405,regular,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70317,2025-03-12,C1088,champion,Tokopedia,Jabodetabek,Elektronik,Webcam HD,1,210000,210000
INV-70157,2025-03-12,C1048,occasional,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71440,2025-03-12,C1396,loyal,TikTok Shop,Jabodetabek,Elektronik,Webcam HD,3,210000,630000
INV-71216,2025-03-13,C1346,regular,Offline Store,Lainnya,Makanan,Granola 500g,1,92000,92000
INV-70087,2025-03-13,C1025,loyal,TikTok Shop,Jabodetabek,Elektronik,Keyboard Mekanik,1,380000,380000
INV-71103,2025-03-13,C1310,loyal,Offline Store,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70075,2025-03-13,C1024,regular,TikTok Shop,Jawa Barat,Rumah Tangga,Organizer Laci,2,78000,156000
INV-70598,2025-03-14,C1161,champion,Shopee,Jawa Barat,Kecantikan,Lip Tint,4,65000,260000
INV-70584,2025-03-14,C1158,regular,Tokopedia,Sumatera,Rumah Tangga,Organizer Laci,1,78000,78000
INV-71368,2025-03-14,C1377,champion,Shopee,Jawa Timur,Elektronik,Earbuds TWS,1,265000,265000
INV-71518,2025-03-15,C1417,occasional,Offline Store,Jabodetabek,Fashion,Celana Chino,4,195000,780000
INV-70556,2025-03-15,C1153,loyal,TikTok Shop,Jabodetabek,Elektronik,Smartwatch,1,450000,450000
INV-71442,2025-03-15,C1397,occasional,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71157,2025-03-16,C1327,regular,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71522,2025-03-16,C1419,loyal,Offline Store,Jawa Barat,Elektronik,Power Bank 20K,2,185000,370000
INV-71454,2025-03-16,C1402,occasional,Tokopedia,Lainnya,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-71185,2025-03-16,C1334,champion,TikTok Shop,Jawa Tengah,Rumah Tangga,Organizer Laci,1,78000,78000
INV-70027,2025-03-16,C1006,regular,Shopee,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70517,2025-03-16,C1142,champion,Tokopedia,Jawa Barat,Elektronik,Power Bank 20K,2,185000,370000
INV-70372,2025-03-17,C1106,onetime,Tokopedia,Jawa Barat,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71150,2025-03-17,C1326,loyal,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-70143,2025-03-18,C1040,occasional,Offline Store,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70794,2025-03-19,C1223,loyal,Tokopedia,Jabodetabek,Rumah Tangga,Karpet Bulu,1,240000,240000
INV-71034,2025-03-19,C1294,loyal,Shopee,Jawa Timur,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-70877,2025-03-19,C1246,champion,TikTok Shop,Jawa Barat,Elektronik,Earbuds TWS,4,265000,1060000
INV-71316,2025-03-19,C1364,champion,Tokopedia,Sumatera,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-70425,2025-03-20,C1119,regular,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-70038,2025-03-20,C1009,occasional,TikTok Shop,Jabodetabek,Rumah Tangga,Organizer Laci,1,78000,78000
INV-70454,2025-03-20,C1129,regular,TikTok Shop,Jawa Timur,Makanan,Madu Hutan 250ml,2,110000,220000
INV-70296,2025-03-20,C1084,loyal,TikTok Shop,Jawa Timur,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71166,2025-03-20,C1330,regular,Tokopedia,Jawa Barat,Elektronik,Keyboard Mekanik,1,380000,380000
INV-71094,2025-03-20,C1306,loyal,Tokopedia,Jabodetabek,Rumah Tangga,Organizer Laci,4,78000,312000
INV-71520,2025-03-21,C1418,regular,TikTok Shop,Sumatera,Makanan,Granola 500g,4,92000,368000
INV-70704,2025-03-21,C1195,champion,TikTok Shop,Jabodetabek,Makanan,Granola 500g,3,92000,276000
INV-70293,2025-03-22,C1083,loyal,Tokopedia,Jabodetabek,Elektronik,Smartwatch,4,450000,1800000
INV-70117,2025-03-22,C1037,occasional,Offline Store,Jabodetabek,Elektronik,Power Bank 20K,1,185000,185000
